short_name,overall,pace,shooting,passing,dribbling,defending,physic
S. Bender,81,66,56,68,66,85,82
J. Hernández,81,86,80,64,76,31,63
M. Sakho,81,68,33,60,57,80,83
Nani,81,84,79,79,86,27,64
Ramires,81,88,69,77,82,79,73
S. Eto'o,81,76,81,71,82,37,72
M. Klose,81,70,77,63,73,32,63
José Reina,81,,,,,,
D. Berbatov,81,64,82,80,80,32,62
D. Drogba,81,67,83,75,75,36,78
A. Cole,81,73,55,71,74,80,75
R. van der Vaart,81,53,78,81,81,37,63
Fernando Torres,81,78,79,71,80,32,70
N. de Jong,81,71,51,72,72,78,82
C. Carrasso,81,,,,,,
Felipe Melo,81,77,71,76,75,80,86
Fernandinho,81,78,74,80,81,73,76
S. Kießling,81,66,83,71,69,45,80
T. Zengin,81,,,,,,
Soldado,81,76,81,68,76,42,75
Luisão,81,39,53,59,53,84,75
D. Agger,81,73,65,66,61,83,77
C. Dempsey,81,73,80,75,82,42,75
R. Montolivo,81,60,71,83,76,68,73
Llorente,81,61,79,57,74,35,85
M. Boussoufa,81,80,72,82,86,42,55
G. Cahill,81,74,58,52,62,84,76
L. Koscielny,81,81,40,62,65,83,75
Diego Alves,81,,,,,,
M. Škrtel,81,63,38,48,54,82,82
Y. Cabaye,81,68,75,82,78,71,73
M. Valbuena,81,86,73,80,83,33,50
B. Ivanović,81,67,60,63,60,86,83
Beto,81,,,,,,
C. Bacca,81,81,82,63,80,31,69
S. El Shaarawy,80,87,76,72,84,33,60
Parejo,80,61,71,86,78,58,68
E. Mangala,80,76,40,59,63,79,85
R. Lukaku,80,84,80,65,75,30,81
Rodrigo,80,86,80,69,79,33,71
M. Verratti,80,70,55,80,84,73,67
R. Sterling,80,93,69,70,84,46,62
Iñigo Martínez,80,76,54,54,59,82,80
Bernard,80,90,71,76,85,37,39
A. Witsel,80,71,73,77,83,74,80
E. Banega,80,68,70,83,82,65,70
C. Benteke,80,80,81,64,74,33,85
Paulinho,80,77,75,73,77,80,78
Susaeta,80,85,74,79,80,32,68
Muniaín,80,87,73,71,85,37,63
C. Immobile,80,78,80,60,76,32,78
X. Shaqiri,80,88,78,76,86,57,74
J. Draxler,80,78,78,78,84,34,61
M. Schneiderlin,80,68,63,71,72,78,81
Rui Patrício,80,,,,,,
K. Trapp,80,,,,,,
Douglas Costa,80,85,73,78,85,51,62
N. Otamendi,80,66,51,55,62,84,76
H. Badstuber,80,59,50,71,54,80,74
M. Gonalons,80,67,59,72,72,80,83
R. Rodriguez,80,76,52,76,76,79,76
C. Emenike,80,88,80,56,76,28,83
Kiko Casilla,80,,,,,,
S. Sam,80,90,79,74,81,34,63
José Callejón,80,90,78,72,82,29,62
W. Szczęsny,80,,,,,,
A. Dzyuba,80,78,80,71,71,33,84
S. Rondón,80,80,80,56,74,32,80
M. Dembélé,80,79,71,75,84,69,83
G. Castro,80,77,69,79,81,74,68
K. Boateng,80,77,80,78,81,70,84
Beñat,80,67,79,83,75,68,74
A. Cerci,80,87,78,81,83,34,74
L. Rémy,80,90,80,68,74,34,71
D. Lovren,80,63,39,59,63,81,82
D. Tadić,80,74,69,80,82,36,67
K. Mirallas,80,88,77,77,83,47,63
S. Kjær,80,66,44,62,53,82,78
O. Kivrak,80,,,,,,
F. Totti,80,40,84,87,81,26,68
Tiago,80,63,67,78,73,69,77
G. Barry,80,48,68,81,69,80,78
A. Cassano,80,54,78,87,85,28,60
T. Rosický,80,74,70,81,84,43,67
Quaresma,80,84,74,77,85,27,64
Ronaldinho,80,53,72,85,85,29,61
Mikel Arteta,80,43,72,83,79,74,66
J. Defoe,80,84,85,61,78,29,66
P. Evra,80,79,51,71,77,79,78
E. Adebayor,80,73,79,67,77,31,77
Iraola,80,78,63,75,77,79,79
Aduriz,80,67,81,64,71,46,78
J. Mathieu,80,76,64,66,55,82,81
David Villa,80,73,83,72,82,32,64
D. Benaglio,80,,,,,,
Bruno Alves,80,64,60,60,64,80,84
V. Enyeama,80,,,,,,
G. Ochoa,80,,,,,,
Raffael,80,74,79,78,85,41,68
I. Denisov,80,76,67,75,76,80,75
R. Mavuba,80,66,52,75,73,78,77
G. Clichy,80,85,42,70,78,80,68
Raúl Albiol,80,61,46,60,59,83,76
A. Song,80,71,59,70,70,78,83
M. Debuchy,80,76,65,73,74,78,78
L. Perrin,80,71,64,69,67,83,76
B. Sagna,80,74,56,71,75,81,78
A. Valencia,80,85,67,77,79,47,75
Naldo,80,73,56,61,57,82,74
D. Ba,80,77,81,67,77,45,79
Miguel Veloso,80,68,72,82,78,75,74
F. Fazio,80,44,42,60,54,81,82
A. Chedjou,80,70,60,65,63,79,81
A. Costa,80,64,76,83,79,68,75
M. Baša,80,62,55,59,56,81,78
E. Pérez,80,80,73,78,82,75,80
O. Cardosa,80,42,87,72,69,36,71
M. Musacchio,79,69,51,65,57,81,77
N. Nkoulou,79,79,43,66,69,80,75
J. Pastore,79,66,77,81,83,46,65
R. Cabella,79,84,76,77,84,65,57
L. Insigne,79,89,70,76,86,27,47
Paco Alcácer,79,78,79,63,78,29,72
S. Kaya,79,74,38,60,61,81,79
T. Krul,79,,,,,,
Y. Sommer,79,,,,,,
R. Zieler,79,,,,,,
A. Dzagoev,79,75,74,79,79,39,62
G. Bonaventura,79,80,75,77,80,60,73
Guaita,79,,,,,,
Illarramendi,79,67,61,80,77,72,70
E. Salvio,79,88,74,73,84,43,66
Alex Sandro,79,84,64,74,81,77,77
Ander Herrera,79,76,63,79,84,54,65
A. Lacazette,79,87,77,69,83,39,72
P. Jones,79,66,55,65,61,80,80
K. Volland,79,81,80,76,79,42,80
Mario Suárez,79,63,68,77,72,78,81
K. Gameiro,79,80,79,74,76,34,65
A. Taarabt,79,80,73,76,84,31,62
S. Coleman,79,81,67,71,77,79,78
A. Lallana,79,72,71,78,83,49,67
V. Stocker,79,83,76,76,81,62,73
Fernando,79,68,60,69,73,83,83
J. Biabiany,79,96,66,70,82,36,66
L. Bonucci,79,69,46,66,65,78,79
K. Asamoah,79,84,74,75,82,69,82
J. McCarthy,79,73,67,76,76,78,80
D. Blind,79,66,51,73,75,74,77
Víctor Ruíz,79,67,41,64,59,80,79
G. Krychowiak,79,59,57,70,60,80,86
A. Abdennour,79,72,57,63,63,79,84
Ibai Gómez,79,81,81,72,83,49,68
Deulofeu,79,91,68,66,86,26,59
Carvajal,79,82,40,73,78,76,82
R. Elm,79,65,71,82,70,72,75
J. Evans,79,74,31,58,51,81,74
Fábio Coentrão,79,80,65,73,79,75,76
Sergio Asenjo,79,,,,,,
Azpilicueta,79,79,56,74,73,80,76
O. Toprak,79,77,38,61,66,81,73
S. Ulreich,79,,,,,,
Alex Teixeira,79,78,73,75,84,70,57
P. Aubameyang,79,95,79,74,78,38,68
K. Navas,79,,,,,,
J. Cillessen,79,,,,,,
M. Rojo,79,75,59,66,66,79,82
R. Eremenko,79,77,73,80,80,55,71
R. Nainggolan,79,80,71,76,80,76,80
B. Dzsudzsák,79,81,79,77,77,26,65
K. Glik,79,52,29,44,43,81,78
Sandro,79,72,68,72,72,80,84
Javi García,79,63,66,74,67,81,86
M. Fellaini,79,64,71,73,71,75,88
M. Cáceres,79,82,52,60,66,82,77
Iborra,79,55,67,73,66,78,83
R. Keane,79,68,81,73,82,31,68
M. De Sanctis,79,,,,,,
F. Lampard,79,41,84,82,76,62,71
R. Ferdinand,79,59,42,61,60,81,67
L. Donovan,79,82,73,78,77,43,66
M. Carrick,79,60,69,79,72,75,68
C. Pizarro,79,55,79,69,78,32,71
F. Coloccini,79,69,52,64,64,79,77
S. Pienaar,79,73,72,80,84,52,67
P. Jagielka,79,68,46,58,55,81,81
A. Aquilani,79,56,74,82,78,65,69
M. Dawson,79,32,31,46,42,81,79
M. Demichelis,79,33,41,58,54,80,72
Maicon,79,78,71,79,78,76,80
M. Vorm,79,,,,,,
J. Lescott,79,54,50,57,58,81,79
W. Caballero,79,,,,,,
Helton,79,,,,,,
F. Marchetti,79,,,,,,
D. Srna,79,72,72,84,74,76,76
G. Rodríguez,79,67,50,64,64,81,76
V. Demirel,79,,,,,,
Xabi Prieto,79,63,75,82,78,35,61
Arbeloa,79,73,60,71,61,79,78
Juanfran,79,83,59,73,79,76,78
I. Olić,79,80,79,67,76,36,82
Raúl Meireles,79,71,76,80,77,68,77
A. Lennon,79,92,63,73,83,27,60
T. Vermaelen,79,71,63,69,63,80,77
Manuel Fernandes,79,82,74,81,82,70,73
G. Inler,79,67,72,77,73,75,77
V. Behrami,79,75,65,75,76,78,82
V. Ibišević,79,66,80,61,72,31,69
Y. Kaboul,79,74,43,57,57,79,82
L. Diarra,79,78,53,72,75,80,68
A. Williams,79,70,42,57,61,79,82
R. Shirokov,79,68,78,80,74,70,71
R. Vlaar,79,61,59,60,59,81,82
F. Guarín,79,79,78,78,81,68,85
C. Rodríguez,79,79,76,78,78,51,80
Raúl García,79,72,74,80,77,65,80
Mikel Gonzalez,79,69,44,59,50,80,82
Lucas Leiva,79,60,40,71,72,79,76
A. Ramos,79,86,76,68,77,37,73
Jonas,79,77,80,71,81,32,64
O. Giroud,79,62,78,69,69,38,82
O. Cardozo,79,42,85,69,69,30,71
D. N'Doye,79,75,80,62,73,37,84
V. Ćorluka,79,52,46,66,65,81,81
Bruno,79,60,65,75,73,75,76
K. Honda,79,74,73,82,79,62,68
João Pereira,79,85,58,72,75,75,77
M. Depay,78,91,71,72,84,28,75
L. Marković,78,90,66,72,85,36,52
A. Oxlade-Chamberlain,78,89,71,71,84,41,72
R. Barkley,78,80,71,74,81,55,74
Marquinhos,78,79,36,57,63,80,74
J. Quintero,78,75,70,75,84,29,44
William Carvalho,78,59,60,70,71,80,84
E. Lamela,78,81,80,77,83,28,60
K. Papadopoulos,78,67,44,53,51,77,84
L. Traoré,78,77,79,51,67,36,77
Juan Jesus,78,78,38,53,58,80,81
Alberto Moreno,78,87,67,70,80,74,71
H. Moreno,78,68,42,60,57,79,79
E. Capoue,78,61,61,72,70,78,81
G. Wijnaldum,78,83,73,70,84,63,72
J. Henderson,78,75,68,76,75,70,76
P. Piatti,78,87,70,73,81,32,53
Adrien Silva,78,61,74,80,77,69,70
Mikel San José,78,60,50,63,60,79,75
A. Poli,78,76,66,78,78,69,75
D. Welbeck,78,85,76,71,80,33,75
G. Töre,78,85,69,75,81,34,78
Cristian Tello,78,89,72,70,82,26,60
M. Etxeberría,78,88,67,75,80,65,70
Y. Lodygin,78,,,,,,
M. Bradley,78,69,67,75,76,71,82
J. Ménez,78,85,69,70,83,34,60
A. Consigli,78,,,,,,
Y. Movsisyan,78,81,80,45,74,34,72
A. Ayew,78,81,72,74,80,62,78
P. Ebert,78,79,74,78,80,45,61
I. Perišić,78,80,80,76,77,42,74
T. Alderweireld,78,64,58,64,62,79,79
K. Gibbs,78,81,56,72,75,79,71
Taison,78,88,75,72,82,41,61
De Marcos,78,90,66,75,75,72,82
A. Kokorin,78,85,77,72,75,44,64
S. de Vrij,78,66,47,62,67,79,75
P. Lasogga,78,64,80,54,69,37,83
Rafinha,78,77,70,75,82,56,67
S. Savić,78,67,39,54,59,81,74
P. Franco,78,77,47,56,65,79,78
D. Astori,78,68,40,47,50,81,79
D. Criscito,78,82,62,72,74,77,77
Adrián,78,81,75,65,83,29,70
D. Payet,78,78,79,77,81,44,64
K. Mitroglou,78,63,79,62,76,29,77
M. Kruse,78,75,78,76,80,42,74
Y. M'Vila,78,77,64,70,74,77,77
Camacho,78,66,47,69,65,77,81
R. Hamouma,78,84,73,75,80,44,64
O. Baumann,78,,,,,,
Joãozinho,78,88,75,78,79,60,52
J. Mikel,78,61,53,69,68,78,88
Coke,78,77,62,68,71,76,74
J. Lens,78,86,75,70,81,31,71
L. Stindl,78,76,78,77,77,71,76
M. Diouf,78,86,77,55,68,33,75
M. Schmelzer,78,77,53,69,70,79,78
S. Reinartz,78,59,55,67,51,82,85
Y. Rakitskyi,78,68,62,71,71,81,77
Arribas,78,61,37,55,55,80,78
Z. Tošić,78,89,76,74,84,30,54
B. Costil,78,,,,,,
R. Shawcross,78,62,43,51,49,80,84
M. Stranzl,78,54,44,55,52,81,78
T. Henry,78,72,75,74,81,28,61
S. Kehl,78,49,62,69,66,79,76
B. Friedel,78,,,,,,
Ricardo Costa,78,54,37,44,52,77,83
K. Källström,78,56,76,83,73,64,75
Joaquín,78,75,71,80,80,29,59
D. Forlán,78,66,81,79,80,28,66
Moyá,78,,,,,,
Iraizoz,78,,,,,,
Rubén Castro,78,83,78,62,80,31,62
K. Touré,78,74,62,60,53,78,80
A. Di Natale,78,78,82,81,82,29,57
S. Rolfes,78,57,64,76,68,79,75
B. Yılmaz,78,83,78,66,70,37,80
M. Topal,78,70,65,69,67,80,81
A. Hutchinson,78,76,64,74,74,78,82
Lee Dong Gook,78,65,82,72,68,32,68
G. Pandev,78,73,77,76,80,37,68
E. Cambiasso,78,59,72,75,72,76,75
J. Milner,78,68,75,81,75,68,74
A. Mirante,78,,,,,,
E. Spahić,78,57,40,60,47,79,74
D. Milito,78,67,77,64,78,28,63
O. Adın,78,84,75,77,80,61,70
E. Korkmaz,78,64,42,44,54,79,83
I. Uche,78,86,78,58,80,32,74
Mikel Rico,78,68,72,73,70,73,81
Javi Fuego,78,67,60,73,66,74,81
A. Samedov,78,81,71,79,77,49,71
V. Berezutskiy,78,50,38,58,47,81,81
A. Young,78,86,73,75,81,34,53
A. Gignac,78,72,81,72,74,33,73
Y. Zhirkov,78,77,68,78,76,69,73
A. McGeady,78,86,70,71,85,41,65
A. Hunt,78,78,74,78,78,43,67
S. Kalou,78,83,77,71,83,31,66
C. Gentner,78,64,75,75,71,74,80
B. Gomis,78,71,80,63,69,39,72
Jesús Gámez,78,73,51,66,66,78,84
H. Ben Arfa,78,78,77,76,85,34,69
Rolando,78,39,43,56,55,81,73
B. Foster,78,,,,,,
B. Guzan,78,,,,,,
Michu,78,67,78,68,71,43,76
N. Pareja,78,66,59,65,61,77,77
G. Paletta,78,59,38,50,45,81,82
C. Tioté,78,74,56,66,73,79,88
M. Sow,78,83,80,69,79,37,75
Varela,78,83,78,71,80,41,66
G. Castro,78,81,73,71,81,36,58
M. Fernández,78,77,72,79,83,39,60
O. Toivonen,78,66,78,72,75,42,74
M. Iturra,78,71,47,74,69,74,74
B. Ruíz,78,70,74,76,83,52,56
Vieirinha,78,81,74,73,85,38,66
Lima,78,77,80,72,77,42,72
A. Rami,78,68,55,51,51,83,81
Roberto,78,,,,,,
Thiago Neves,78,76,77,77,77,32,63
A. Kolarov,78,72,70,78,75,78,78
S. Lulić,78,84,71,75,77,70,81
J. Iturbe,77,92,68,65,84,27,50
C. Grenier,77,66,71,81,79,53,71
S. Mustafi,77,68,56,61,54,80,76
Morata,77,78,75,53,75,29,66
M. Ginter,77,62,57,63,65,80,76
Sergio Canales,77,69,70,79,80,29,52
S. Aurier,77,83,63,70,75,76,83
Danilo,77,80,74,76,77,76,76
F. Thauvin,77,83,73,74,79,32,63
H. Çalhanoğlu,77,75,76,78,78,37,57
Rafa,77,89,67,70,81,34,44
J. Zoet,77,,,,,,
R. Pereyra,77,82,68,77,79,64,74
M. Destro,77,78,76,59,74,30,68
Montoya,77,88,49,72,75,73,76
A. Carrillo,77,88,71,69,81,29,62
C. Kramer,77,68,56,69,74,75,76
D. Ospina,77,,,,,,
M. Marin,77,80,65,78,85,25,42
E. Insua,77,78,72,71,73,78,79
J. Allen,77,70,58,76,78,66,60
Rafael,77,83,56,71,77,76,77
G. Sertic,77,72,70,78,74,73,76
K. Kampl,77,84,60,72,86,40,61
P. Djilobodji,77,73,45,52,47,76,84
J. Drmić,77,80,77,67,78,36,68
Nolito,77,75,74,74,82,39,66
A. Özbiliz,77,80,78,75,79,29,55
S. Rode,77,77,61,73,76,75,75
J. Oblak,77,,,,,,
M. Nastasić,77,74,30,53,48,80,75
E. Vargas,77,86,77,69,83,31,65
A. Maxim,77,76,71,78,81,40,52
Bojan,77,81,72,72,85,25,45
Granero,77,66,70,82,74,63,69
R. Fährmann,77,,,,,,
A. Ranocchia,77,57,37,52,60,79,76
A. Ogbonna,77,73,45,53,53,82,78
Y. Brahimi,77,77,61,75,85,39,58
L. Holtby,77,72,72,77,79,59,70
K. Walker,77,91,63,71,72,76,80
S. Jung,77,78,51,72,73,75,73
O. Özyakup,77,77,75,76,78,49,70
J. Matip,77,74,50,67,64,80,75
W. Ben Yedder,77,81,75,76,82,31,60
V. Darida,77,72,70,76,79,67,63
G. Ramirez,77,75,74,76,80,40,61
S. Romerón,77,71,77,52,70,32,80
P. Schwegler,77,68,68,77,76,74,70
Agirretxe,77,60,75,61,72,44,74
S. Radu,77,78,55,60,66,81,78
I. Khune,77,,,,,,
C. Ansaldi,77,84,58,71,72,75,73
S. Tasci,77,66,40,62,66,78,71
A. Carroll,77,73,78,61,67,49,85
N. Müller,77,88,72,70,82,48,68
G. van der Wiel,77,85,63,71,75,73,75
G. Sigurðsson,77,68,80,77,73,51,66
I. Popov,77,80,74,77,74,47,70
C. Zambrano,77,73,50,58,66,77,80
Balenziaga,77,78,46,72,73,74,77
Maicon,77,52,47,61,56,78,83
Vitolo,77,77,71,76,79,26,71
N. Chadli,77,77,74,75,79,44,77
L. Bangoura,77,91,68,66,83,28,67
M. Richards,77,79,55,64,66,78,85
A. Modeste,77,74,77,65,71,32,72
N. Amrabat,77,88,70,72,81,35,73
M. Arnautović,77,79,74,75,80,42,74
S. de Jong,77,70,78,72,73,59,76
K. Großkreutz,77,80,72,74,70,74,77
J. Ruddy,77,,,,,,
C. Zapata,77,72,36,53,49,81,80
L. Pratto,77,75,77,71,75,37,80
O. Şahan,77,80,74,73,77,65,69
José Cañas,77,66,43,68,56,75,74
M. Stekelenburg,77,,,,,,
Ricardo Carvalho,77,50,46,59,56,78,67
S. Keita,77,67,67,70,66,75,76
S. Distin,77,71,35,55,56,78,79
P. Mexès,77,72,51,58,61,79,80
F. Malouda,77,70,76,76,80,30,72
C. Samba,77,47,47,43,44,79,81
S. Mauri,77,68,72,80,77,66,71
Maxwell,77,74,65,77,77,75,71
S. Downing,77,76,73,77,78,42,61
Gurpegi,77,53,55,63,55,76,81
S. Lichtsteiner,77,84,64,73,74,78,82
M. Rodríguez,77,78,76,76,79,45,71
Óscar,77,68,77,74,74,41,61
David Navarro,77,53,43,52,51,77,79
Reyes,77,72,71,78,81,27,55
S. Ignashevich,77,46,60,61,50,80,78
J. Jones,77,77,68,70,71,77,85
H. Campagnaro,77,69,43,57,60,80,78
S. İnan,77,73,76,80,77,61,73
L. Cana,77,61,53,63,55,75,82
A. Lindegaard,77,,,,,,
D. Baier,77,68,59,76,76,74,71
O. Martins,77,93,74,66,77,34,68
K. Agassa,77,,,,,,
Ruben Amorim,77,66,68,77,76,73,75
G. Denis,77,66,79,59,69,32,73
J. Sosa,77,79,70,78,76,59,71
Diego Castro,77,80,75,73,82,38,64
L. Podolski,77,74,87,76,77,38,69
Hilton,77,61,49,65,63,79,70
Y. Gourcuff,77,68,71,80,78,55,67
Piti,77,72,77,74,79,34,67
Markel Bergara,77,61,54,74,67,74,79
A. Granqvist,77,48,60,57,54,78,77
M. Flamini,77,73,65,70,72,78,79
S. Salihović,77,49,78,83,74,65,73
L. Biglia,77,62,63,76,77,71,74
Trashorras,77,49,69,84,73,52,68
F. Quagliarella,77,71,83,67,76,29,68
N. Lombaerts,77,42,48,66,58,78,78
J. Clément,77,54,60,71,64,79,77
S. Sessègnon,77,82,71,74,81,49,74
G. Pellè,77,56,76,57,66,34,79
M. Jansen,77,80,69,73,73,75,78
A. Johnson,77,75,74,76,82,38,65
Jonathan,77,86,66,72,78,66,72
P. Helmes,77,76,81,63,73,31,65
E. Viviano,77,,,,,,
Rafinha,77,72,50,75,79,75,67
K. Vermeer,77,,,,,,
José Enrique,77,82,52,73,74,77,82
D. Valeri,77,70,75,76,75,35,64
L. Cigarini,77,67,65,83,77,59,66
Siqueira,77,78,64,74,79,74,78
M. Erdinç,77,76,75,71,75,43,75
P. Wernbloom,77,52,65,66,66,77,85
M. Berg,77,73,77,63,74,33,69
A. Fernández,77,72,69,75,77,54,58
Manuel da Costa,77,67,27,49,52,78,82
B. Trémoulinas,77,84,63,78,76,73,73
Rafinha,77,87,65,72,80,42,61
M. Biševac,77,59,47,59,52,79,80
P. Osvaldo,77,73,76,63,79,30,76
D. Ya Konan,77,84,78,69,80,29,71
Guilherme,77,,,,,,
Luiz Adriano,77,78,76,57,76,29,68
M. Pereira,77,73,68,73,76,76,77
M. Parolo,77,74,72,75,73,71,79
C. Yacob,77,57,58,65,68,78,74
E. Giaccherini,77,75,67,76,83,60,61
S. Okazaki,77,77,75,65,79,40,72
S. La Cruz,77,56,75,64,70,33,72
J. Aranguren,77,63,70,81,78,27,60
D. Berardi,76,84,74,67,80,29,65
